,text,author_id,conversation_id,created_at,in_reply_to_user_id,id
39,@WanjikuReports 2|4|7|11|14,351741878,1473929269319553026,2021-12-24T05:58:15.000Z,1242834186173665280,1474258095626936341
40,@WanjikuReports @KenyaPower_Care As a customer service executive. I would love that opportunity.,478973996,1473929269319553026,2021-12-24T05:57:15.000Z,1242834186173665280,1474257847714258946
41,@WanjikuReports wish next year i can get somewhere to be employed...its really frustrating,3434559261,1473929269319553026,2021-12-24T05:57:07.000Z,3434559261,1474257814260494337
42,@WanjikuReports @EABL_PLC,375454696,1473929269319553026,2021-12-24T05:54:50.000Z,1242834186173665280,1474257237984096293
43,@WanjikuReports @UN darling,224372730,1473929269319553026,2021-12-24T05:53:57.000Z,1242834186173665280,1474257013492363299
44,@WanjikuReports KCB does not qualify on this list.,1051874518598324224,1473929269319553026,2021-12-24T05:53:12.000Z,1242834186173665280,1474256825667235844
45,@WanjikuReports No 18,554834428,1473929269319553026,2021-12-24T05:52:28.000Z,1242834186173665280,1474256642233544709
46,@WanjikuReports Safaricom the best option,1447966321,1473929269319553026,2021-12-24T05:52:16.000Z,1242834186173665280,1474256591608295445
47,@WanjikuReports Amref,1375785246017400835,1473929269319553026,2021-12-24T05:51:38.000Z,1242834186173665280,1474256434036682779
48,@WanjikuReports 1,531138459,1473929269319553026,2021-12-24T05:51:26.000Z,1242834186173665280,1474256383327547438
49,"@WanjikuReports Kra,,😋",1365989672703438851,1473929269319553026,2021-12-24T05:51:03.000Z,1242834186173665280,1474256286116163631
50,@WanjikuReports kengen as a geologist,3102704651,1473929269319553026,2021-12-24T05:50:59.000Z,1242834186173665280,1474256266985943073
51,@WanjikuReports the first row of 1 7 13,1091717122038878208,1473929269319553026,2021-12-24T05:48:17.000Z,1242834186173665280,1474255591103213577
52,"@WanjikuReports Google 
Microsoft 
Royal Media services
Or Safaricom",894962217023680512,1473929269319553026,2021-12-24T05:48:12.000Z,1242834186173665280,1474255570408517648
53,@WanjikuReports United Nations,3133583119,1473929269319553026,2021-12-24T05:48:12.000Z,1242834186173665280,1474255569674514446
